facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10255,school,Escola de Música do Conservatório de Lisboa,38.760533,-9.189571,1,,,,212499032,,,"Rua do Norte, 13",1600-537 LISBOA,Carnide,,,1106,Lisboa,11,Lisboa,PT170,AML,"060063,060065"
10256,school,Escola de Música Nossa Senhora do Cabo,38.712920,-9.240546,1,,,,214141455,,,"Rua dos Lusíadas, nº 4 - A",2795-127 LINDA A VELHA,Linda-a-Velha,,,1110,Oeiras,11,Lisboa,PT170,AML,"120055,120159,120160,120161,120162,120163,120164,120165,120166,120167,120176,120239,120240,120249,120319,120357,120358,121051,121057,121259,121261,121278"
10257,school,Escola dos Mestres,38.756104,-9.142100,1,,,,218471907,,,"Rua do Centro Cultural, nº 17",1700-106 LISBOA,Alvalade - Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060279,060293"
10258,school,Escola Inglesa de S. Julião,38.683647,-9.335077,1,,,,214585390,,,Quinta Nova,2775-588 CARCAVELOS,Carcavelos,,,1105,Cascais,11,Lisboa,PT170,AML,050009
10259,school,Escola Intercultural das Profissões e do Desporto da Amadora,38.753976,-9.228951,1,,,,,,,,,,,,1115,Amadora,11,Lisboa,PT170,AML,"030457,030458,030461,030462,030463,030464,030465,030481,030483,030495,030535,030537,030538,030837,030839,030840,030841,030865,030866,030867,030868"
10260,school,Escola Luis Madureira (Stª Casa Misericórdia da Amadora),38.732585,-9.213064,1,,,,214722280,,,Estrada da Portela - Quinta das Torres,2720-461 AMADORA,Buraca,,,1115,Amadora,11,Lisboa,PT170,AML,"030007,030009,030010,030011,030012,030013,030014,030015,030016,030059,030553,030554,030555,030557,030563,030765,030766"
10261,school,Escola Profissional Agostinho Roseta - Sesimbra,38.459474,-9.106731,,,1,,212685733,,,"Rua Carlos César, n.º 3",2970-000 SESIMBRA,Sesimbra,,,1511,Sesimbra,15,Setúbal,PT170,AML,"150065,150066,150149,150150,150151,150153,150154,150155,150157,150159,150160,150161,150407,150408"
10262,school,"Escola Profissional Agrícola D. Dinis - Paiã, Odivelas",38.771492,-9.200407,,1,,,214788840,,,Rua Pedro Álvares Cabral,1679-003 PONTINHA,Paiã,,,1116,Odivelas,11,Lisboa,PT170,AML,"110691,110692"
10263,school,Escola Profissional Alda Brandão de Vasconcelos,38.801807,-9.456520,1,,,,219290587,,,Quinta da Sarrazola,2705-025 COLARES,Colares,,,1111,Sintra,11,Lisboa,PT170,AML,"171339,171340"
10264,school,Escola Profissional Almirante Domingos Tasso de Figueiredo,38.712715,-9.175792,1,,,,213616870,,,"Avenida de Ceuta, nº 1 - Piso 7",1300-125 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060387,060397"
10265,school,Escola Profissional Bento de Jesus Caraça (Deleg.),38.665458,-9.069592,,,,1,212064790,,,"Largo da Quinta Grande, nº 11",2830-249 BARREIRO,Barreiro,,,1504,Barreiro,15,Setúbal,PT170,AML,"140569,140570,140577"
10266,school,Escola Profissional Cristóvão Colombo - Pólo de Setúbal,38.525380,-8.885491,,,,1,265541700,,,"Av. Bento Gonçalves, 1",2910-432 SETÚBAL,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,"160061,160062,160063,160064,160065,160133,160139,160141,160163,160349,160746,160883"
10267,school,Escola Profissional de Almada,38.677060,-9.152259,,,1,,212739280,,,Avenida  Aliança Povo MFA,2800-253 ALMADA,Margueira,,,1503,Almada,15,Setúbal,PT170,AML,"020495,020496,020538"
