agency_id,route_id,fare_id
CM,2110_0,BORDO-2
CM,2110_1,BORDO-2
CM,2110_2,BORDO-2
CM,2111_0,BORDO-2
CM,2112_0,BORDO-2
CM,2113_0,BORDO-2
CM,2113_1,BORDO-2
CM,2114_0,BORDO-2
CM,2115_0,BORDO-2
CM,2116_0,BORDO-2
CM,2117_0,BORDO-2
CM,2117_1,BORDO-2
CM,2117_2,BORDO-2
CM,2118_0,BORDO-2
CM,2118_1,BORDO-2
CM,2118_2,BORDO-2
CM,2118_3,BORDO-2
CM,2118_4,BORDO-2
CM,2118_5,BORDO-2
CM,2119_0,BORDO-2
CM,2119_1,BORDO-2
CM,2120_0,BORDO-2
CM,2121_0,BORDO-2
CM,2122_0,BORDO-2
CM,2124_0,BORDO-1
CM,2125_0,BORDO-1
CM,2125_1,BORDO-1
CM,2126_0,BORDO-1
CM,2127_0,BORDO-2
CM,2128_0,BORDO-2
CM,2129_0,BORDO-2
CM,2130_0,BORDO-2
CM,2130_1,BORDO-2
CM,2131_0,BORDO-2
CM,2131_1,BORDO-2
CM,2132_0,BORDO-2
CM,2132_1,BORDO-2
CM,2133_0,BORDO-2
CM,2133_1,BORDO-2
CM,2133_2,BORDO-2
CM,2133_3,BORDO-2
CM,2133_4,BORDO-2
CM,2134_0,BORDO-2
CM,2135_0,BORDO-2
CM,2136_0,BORDO-2
CM,2137_0,BORDO-2
CM,2137_1,BORDO-2
CM,2138_0,BORDO-2
CM,2139_0,BORDO-2
CM,2140_0,BORDO-2
CM,2141_0,BORDO-2
CM,2142_0,BORDO-1
CM,2142_1,BORDO-1
CM,2142_2,BORDO-1
CM,2143_0,BORDO-2
CM,2144_0,BORDO-2
CM,2144_1,BORDO-2
CM,2144_2,BORDO-2
CM,2144_3,BORDO-2
CM,2145_0,BORDO-2
CM,2145_1,BORDO-2
CM,2146_0,BORDO-2
CM,2147_0,BORDO-2
CM,2147_1,BORDO-2
CM,2148_0,BORDO-2
CM,2148_1,BORDO-2
CM,2149_0,BORDO-2
CM,2150_0,BORDO-2
CM,2150_1,BORDO-2
CM,2151_0,BORDO-2
CM,2201_0,BORDO-2
CM,2202_0,BORDO-2
CM,2203_0,BORDO-2
CM,2203_1,BORDO-2
CM,2204_0,BORDO-1
CM,2205_0,BORDO-2
CM,2206_0,BORDO-2
CM,2207_0,BORDO-2
CM,2208_0,BORDO-2
CM,2209_0,BORDO-2
CM,2210_0,BORDO-2
CM,2211_0,BORDO-2
CM,2212_0,BORDO-1
CM,2213_0,BORDO-2
CM,2213_1,BORDO-2
CM,2213_2,BORDO-2
CM,2215_0,BORDO-2
CM,2216_0,BORDO-2
CM,2217_0,BORDO-2
CM,2217_1,BORDO-2
CM,2217_2,BORDO-2
CM,2218_0,BORDO-2
CM,2219_0,BORDO-2
CM,2219_1,BORDO-2
CM,2220_0,BORDO-1
CM,2220_2,BORDO-1
CM,2220_3,BORDO-1
CM,2221_0,BORDO-2
CM,2221_1,BORDO-2
CM,2222_0,BORDO-1
CM,2223_0,BORDO-2
CM,2223_1,BORDO-2
CM,2224_0,BORDO-2
CM,2225_0,BORDO-2
CM,2225_1,BORDO-2
CM,2225_2,BORDO-2
CM,2225_3,BORDO-2
CM,2303_0,BORDO-2
CM,2304_0,BORDO-2
CM,2305_0,BORDO-1
CM,2306_0,BORDO-2
CM,2307_0,BORDO-2
CM,2309_0,BORDO-2
CM,2310_0,BORDO-2
CM,2315_0,BORDO-2
CM,2316_0,BORDO-2
CM,2317_0,BORDO-2
CM,2317_1,BORDO-2
CM,2317_2,BORDO-2
CM,2318_0,BORDO-1
CM,2318_1,BORDO-1
CM,2318_2,BORDO-1
CM,2319_0,BORDO-1
CM,2319_1,BORDO-1
CM,2320_0,BORDO-2
CM,2321_0,BORDO-2
CM,2325_0,BORDO-2
CM,2327_0,BORDO-2
CM,2327_1,BORDO-2
