stop_id,stop_name,stop_lat,stop_lon,A1,A2,A3,A4,stop_name_new,stop_short_name,tts_stop_name,location_type,platform_code,parent_station,stop_code,stop_url,public_visible,jurisdiction,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,last_stop_update,has_pole,pole_material,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,stop_sign_maintainer,has_pole_frame,shelter_frame_area_cm,has_pip_real_time,pip_real_time_code,has_h2oa_signage,has_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_stop_sign_maintenance,last_stop_sign_check,pavement_type,has_sidewalk,sidewalk_type,has_tactile_schedules,stop_access_type,has_crosswalk,has_tactile_pavement,has_abusive_parking,has_audio_stop_info,wheelchair_boarding,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,light_rail,subway,train,boat,airport,bike_sharing,bike_parking,car_parking
010048,R VALE FIGUEIRA (CASAS NOVAS),38.740490,-8.960615,0,0,0,1,Rua Vale Figueira Fte 788,,Rua Vale Figueira ( Casas Novas ),0,,,010048,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010049,ESTR LAGOA DA CHEIA AGROPECUÁRIA,38.735205,-8.956538,0,0,0,1,Estrada da Lagoa Cheia,,Estrada Lagoa Da Cheia Agropecuária,0,,,010049,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010050,ESTR LAGOA DA CHEIA AGROPECUÁRIA,38.735227,-8.956456,0,0,0,1,Estrada da Lagoa Cheia,,Estrada Lagoa Da Cheia Agropecuária,0,,,010050,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010051,ESTR LAGOA DA CHEIA 610,38.732272,-8.954484,0,0,0,1,Estrada da Lagoa Cheia 618,,Estrada Lagoa Da Cheia 610,0,,,010051,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010052,ESTR LAGOA DA CHEIA 610,38.732396,-8.954452,0,0,0,1,Rua Vale de Figueira Fte 618,,Estrada Lagoa Da Cheia 610,0,,,010052,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010053,ESTR DOS MALMEQUERES 316,38.731476,-8.956327,0,0,0,1,Estrada dos Malmequeres ,,Estrada Dos Malmequeres 316,0,,,010053,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010054,ESTR DOS MALMEQUERES 316,38.731377,-8.956669,0,0,0,1,Estrada dos Malmequeres ,,Estrada Dos Malmequeres 316,0,,,010054,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010055,R FUTEBOL CLUBE S FRANCISCO (CERCAL),38.732838,-8.960893,0,0,0,1,Rua Futebol Clube de São Francisco 1081,,Rua Futebol Clube São Francisco ( Cercal ),0,,,010055,,1,,,,São Francisco,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010056,R FUTEBOL CLUBE S FRANCISCO (CERCAL),38.732718,-8.960852,0,0,0,1,Rua Futebol Clube de São Francisco Fte 1081,,Rua Futebol Clube São Francisco ( Cercal ),0,,,010056,,1,,,,São Francisco,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010057,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,38.732284,-8.970956,0,0,0,1,R. Futebol Clube de São Francisco (X) R. António Aleixo,,Cruzamento Entre ( Rua Futebol Clube São Francisco ) E Rua António Aleixo - Um,0,,,010057,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
