store_id,store_type,store_name,store_lat,store_lon,A1,A2,A3,A4,store_phone,store_email,store_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,store_stops
8400000000000011,encm,Espaço navegante® Carris Metropolitana Sintra,,,0,0,0,0,210410400,,,Avenida Doutor Desidério Cambournac 3A,2710-553,Sintra,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000012,encm,Espaço navegante® Carris Metropolitana Vila Franca de Xira,,,0,0,0,0,210410400,,,R. Almeida Garrett 74,2600-095,Vila Franca de Xira,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000013,encm,Espaço navegante® Carris Metropolitana Mafra,,,0,0,0,0,210410400,,,Rua Santa Casa da Misericórdia 8,2640-500,Mafra,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000014,encm,Espaço navegante® Carris Metropolitana Rio de Mouro,,,0,0,0,0,210410400,,,"Mercado Municipal, Av. Gil Eanes 5 loja 14",2635-003,Rio de Mouro,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,
8400000000000015,encm,Espaço navegante® Carris Metropolitana Brejos de Azeitão,,,0,0,0,0,210410400,,,Rua de Lisboa 281,2925-555,Brejos de Azeitão,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000016,encm,Espaço navegante® Carris Metropolitana Palmela,,,0,0,0,0,210410400,,,R. Dona Maria I 12,2950-214,Palmela,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000017,encm,Espaço navegante® Carris Metropolitana Sesimbra,,,0,0,0,0,210410400,,,"Terminal Rodoviário de Sesimbra, Avenida da Liberdade",2970-635,Sesimbra,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000018,encm,Espaço navegante® Carris Metropolitana Alverca do Ribatejo,,,0,0,0,0,210410400,,,"Centro Comercial Avenida, Av. Cap. João de Almeida Meleças 29",2615-097,Alverca do Ribatejo,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000019,encm,Espaço navegante® Carris Metropolitana Caneças,,,0,0,0,0,210410400,,,Praça Doutor Manuel de Arriaga 6,1685-577,Caneças,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000020,encm,Espaço navegante® Carris Metropolitana Sacavém,,,0,0,0,0,210410400,,,Largo 1º de Maio 1,2685-099,Sacavém,,,1512,Setúbal,15,Setúbal,PT170,AML,09:00-12:30|13:30-17:00,09:00-12:30|13:30-17:00,09:00-12:30|13:30-17:00,09:00-12:30|13:30-17:00,09:00-12:30|13:30-17:00,,,
8400000000000021,encm,Espaço navegante® Carris Metropolitana Bucelas,,,0,0,0,0,210410400,,,R. Marques de Pombal 8,2670-655,Bucelas,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000022,encm,Espaço navegante® Carris Metropolitana Carnaxide,,,0,0,0,0,210410400,,,Rua Fernão Lopes 6 A,2790-130,Carnaxide,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000023,encm,Espaço navegante® Carris Metropolitana Costa da Caparica,,,0,0,0,0,210410400,,,Rua Ercília Costa 6,2825-322,Costa da Caparica,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,
8400000000000024,encm,Espaço navegante® Carris Metropolitana Alcochete,,,0,0,0,0,210410400,,,Edifício Monte Novo,2890-077,Alcochete,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000025,encm,Espaço navegante® Carris Metropolitana Amora,,,0,0,0,0,210410400,,,Rua Joaquim Valentim Correia 7,2845-156,Amora,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000026,encm,Espaço navegante® Carris Metropolitana Moita,,,0,0,0,0,210410400,,,Praça da República 24,2860-461,Moita,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
