route_id,fare_id,fare_color,fare_text_color
1624_1,LONGA,ED1944,FFFFFF
1625_0,LONGA,ED1944,FFFFFF
1625_1,LONGA,ED1944,FFFFFF
1626_0,LONGA,ED1944,FFFFFF
1627_0,LONGA,ED1944,FFFFFF
1628_0,LONGA,ED1944,FFFFFF
1629_0,LONGA,ED1944,FFFFFF
1630_0,LONGA,ED1944,FFFFFF
1630_1,LONGA,ED1944,FFFFFF
1630_2,LONGA,ED1944,FFFFFF
1630_3,LONGA,ED1944,FFFFFF
1630_4,LONGA,ED1944,FFFFFF
1631_0,LONGA,ED1944,FFFFFF
1632_0,LONGA,ED1944,FFFFFF
1632_1,LONGA,ED1944,FFFFFF
1632_2,LONGA,ED1944,FFFFFF
1633_0,LONGA,ED1944,FFFFFF
1633_1,LONGA,ED1944,FFFFFF
1634_0,LONGA,ED1944,FFFFFF
1635_0,LONGA,ED1944,FFFFFF
1635_1,LONGA,ED1944,FFFFFF
1636_0,LONGA,ED1944,FFFFFF
1636_1,LONGA,ED1944,FFFFFF
1637_0,LONGA,ED1944,FFFFFF
1638_0,LONGA,ED1944,FFFFFF
1638_1,LONGA,ED1944,FFFFFF
1638_2,LONGA,ED1944,FFFFFF
1638_3,LONGA,ED1944,FFFFFF
1703_0,LONGA,ED1944,FFFFFF
1704_0,LONGA,ED1944,FFFFFF
1704_1,LONGA,ED1944,FFFFFF
1704_3,LONGA,ED1944,FFFFFF
1706_0,LONGA,ED1944,FFFFFF
1706_1,LONGA,ED1944,FFFFFF
1706_2,LONGA,ED1944,FFFFFF
1707_0,LONGA,ED1944,FFFFFF
1707_1,LONGA,ED1944,FFFFFF
1708_0,LONGA,ED1944,FFFFFF
1708_1,LONGA,ED1944,FFFFFF
1708_2,LONGA,ED1944,FFFFFF
1709_0,LONGA,ED1944,FFFFFF
1710_0,LONGA,ED1944,FFFFFF
1710_1,LONGA,ED1944,FFFFFF
1710_2,LONGA,ED1944,FFFFFF
1710_3,LONGA,ED1944,FFFFFF
1711_0,LONGA,ED1944,FFFFFF
1712_0,LONGA,ED1944,FFFFFF
1713_0,LONGA,ED1944,FFFFFF
1713_1,LONGA,ED1944,FFFFFF
1714_0,LONGA,ED1944,FFFFFF
1715_0,LONGA,ED1944,FFFFFF
1715_1,LONGA,ED1944,FFFFFF
1716_0,LONGA,ED1944,FFFFFF
1716_1,LONGA,ED1944,FFFFFF
1717_0,LONGA,ED1944,FFFFFF
1717_1,LONGA,ED1944,FFFFFF
1717_2,LONGA,ED1944,FFFFFF
1718_0,LONGA,ED1944,FFFFFF
1719_0,LONGA,ED1944,FFFFFF
1720_0,LONGA,ED1944,FFFFFF
1720_1,LONGA,ED1944,FFFFFF
1721_0,LONGA,ED1944,FFFFFF
1721_1,LONGA,ED1944,FFFFFF
1722_0,LONGA,ED1944,FFFFFF
1723_0,LONGA,ED1944,FFFFFF
1723_1,LONGA,ED1944,FFFFFF
1724_0,LONGA,ED1944,FFFFFF
1724_1,LONGA,ED1944,FFFFFF
1724_2,LONGA,ED1944,FFFFFF
1724_3,LONGA,ED1944,FFFFFF
1725_0,LONGA,ED1944,FFFFFF
1726_0,LONGA,ED1944,FFFFFF
1726_1,LONGA,ED1944,FFFFFF
1728_0,LONGA,ED1944,FFFFFF
1728_1,LONGA,ED1944,FFFFFF
1729_0,LONGA,ED1944,FFFFFF
1729_1,LONGA,ED1944,FFFFFF
1730_0,LONGA,ED1944,FFFFFF
1730_1,LONGA,ED1944,FFFFFF
1730_2,LONGA,ED1944,FFFFFF
1730_3,LONGA,ED1944,FFFFFF
1731_0,LONGA,ED1944,FFFFFF
1733_0,LONGA,ED1944,FFFFFF
1733_1,LONGA,ED1944,FFFFFF
1733_2,LONGA,ED1944,FFFFFF
2002_0,LONGA,ED1944,FFFFFF
2003_0,LONGA,ED1944,FFFFFF
2003_1,LONGA,ED1944,FFFFFF
2004_0,PROXIMA,3D85C6,FFFFFF
2006_0,PROXIMA,3D85C6,FFFFFF
2006_1,PROXIMA,3D85C6,FFFFFF
2006_2,PROXIMA,3D85C6,FFFFFF
2007_0,LONGA,ED1944,FFFFFF
2008_0,PROXIMA,3D85C6,FFFFFF
2011_0,LONGA,ED1944,FFFFFF
2011_1,LONGA,ED1944,FFFFFF
2011_2,LONGA,ED1944,FFFFFF
2011_3,LONGA,ED1944,FFFFFF
2013_0,LONGA,ED1944,FFFFFF
2014_0,LONGA,ED1944,FFFFFF
2015_0,LONGA,ED1944,FFFFFF
2016_0,PROXIMA,3D85C6,FFFFFF
2016_1,PROXIMA,3D85C6,FFFFFF
2017_0,LONGA,ED1944,FFFFFF
2020_0,PROXIMA,3D85C6,FFFFFF
2020_1,PROXIMA,3D85C6,FFFFFF
2021_0,LONGA,ED1944,FFFFFF
2021_1,LONGA,ED1944,FFFFFF
2021_2,LONGA,ED1944,FFFFFF
2021_3,LONGA,ED1944,FFFFFF
2022_0,LONGA,ED1944,FFFFFF
2023_0,LONGA,ED1944,FFFFFF
2023_1,LONGA,ED1944,FFFFFF
2025_0,LONGA,ED1944,FFFFFF
2025_1,LONGA,ED1944,FFFFFF
2026_0,PROXIMA,3D85C6,FFFFFF
2027_0,LONGA,ED1944,FFFFFF
2027_1,LONGA,ED1944,FFFFFF
2028_0,LONGA,ED1944,FFFFFF
2029_0,PROXIMA,3D85C6,FFFFFF
2030_0,PROXIMA,3D85C6,FFFFFF
2031_0,PROXIMA,3D85C6,FFFFFF
2031_1,PROXIMA,3D85C6,FFFFFF
2032_0,LONGA,ED1944,FFFFFF
2033_0,PROXIMA,3D85C6,FFFFFF
2034_0,PROXIMA,3D85C6,FFFFFF
2035_0,LONGA,ED1944,FFFFFF
2036_0,PROXIMA,3D85C6,FFFFFF
2036_1,PROXIMA,3D85C6,FFFFFF
2037_0,LONGA,ED1944,FFFFFF
2037_1,LONGA,ED1944,FFFFFF
2037_2,LONGA,ED1944,FFFFFF
2101_0,LONGA,ED1944,FFFFFF
2102_0,LONGA,ED1944,FFFFFF
2103_0,LONGA,ED1944,FFFFFF
2103_1,LONGA,ED1944,FFFFFF
2104_0,LONGA,ED1944,FFFFFF
2105_0,LONGA,ED1944,FFFFFF
2106_0,LONGA,ED1944,FFFFFF
2106_1,LONGA,ED1944,FFFFFF
