A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,130004,PALMELA (AV BOMB VOLUNT) ESC HERM CAPELO,38.574600,-8.900870,,,130004,,32315,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130005,PALMELA (AV LIBERDADE  6),38.574100,-8.902610,,,130005,,32314,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130006,PALMELA (AV LIBERDADE  6),38.574200,-8.902580,,,130006,,32314,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130007,PALMELA (TERMINAL),38.570200,-8.905380,,,130007,,32289,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130009,PALMELA (ESTAÇÃO) TERMINAL REFER,38.571900,-8.873210,,,130009,,32365,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130011,PALMELA (AV CAMINHOS FERRO 16) ESTAÇ CP,38.577000,-8.875080,,,130011,,32323,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130012,PALMELA (AV CAMINHOS FERRO 16) ESTAÇ CP,38.577000,-8.875080,,,130012,,32323,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130013,CABEÇOVELHINHO (EN 379 4),38.576800,-8.881110,,,130013,,32322,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130014,CABEÇOVELHINHO (EN 379 4),38.576800,-8.881110,,,130014,,32322,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130015,VOLTA PEDRA (EN 379 3),38.576300,-8.887000,,,130015,,32321,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130016,VOLTA PEDRA (EN 379 3),38.576300,-8.886980,,,130016,,32321,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130017,VOLTA PEDRA (EN 379) X EN 252,38.576400,-8.889840,,,130017,,32320,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130018,VOLTA PEDRA (EN 379) X EN 252,38.576500,-8.889790,,,130018,,32320,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130019,VOLTA PEDRA (EN 379 KM 35.1),38.577100,-8.893840,,,130019,,32319,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130020,VOLTA PEDRA (EN 379 KM 35.1),38.577000,-8.893840,,,130020,,32319,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130021,PALMELA (EN 379 KM 347),38.578300,-8.899050,,,130021,,32318,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130022,PALMELA (EN 379 KM 347),38.578400,-8.899050,,,130022,,32318,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130023,PALMELA (EN 379) QTA DAS FACALVAS,38.577500,-8.902360,,,130023,,32317,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130024,PALMELA (EN 379) QTA DAS FACALVAS,38.577500,-8.902290,,,130024,,32317,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130025,PALMELA (EN 379 56A),38.575000,-8.903290,,,130025,,32316,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130026,PALMELA (EN 379 56A),38.575000,-8.903220,,,130026,,32316,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130027,PALMELA (EN 379) GRÉMIO 16,38.572000,-8.904110,,,130027,,32313,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130028,PALMELA (EN 379) GRÉMIO 16,38.572000,-8.904050,,,130028,,32313,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130029,PALMELA (LARGO DO TERREIRO),38.568800,-8.903550,,,130029,,119000,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
