fare_id,route_id
LONGA,2621_0
LONGA,2621_1
LONGA,2625_0
LONGA,2626_0
LONGA,2626_1
LONGA,2627_0
LONGA,2627_1
LONGA,2632_0
LONGA,2632_1
LONGA,2701_0
LONGA,2702_0
LONGA,2703_0
LONGA,2703_1
LONGA,2705_0
LONGA,2705_1
LONGA,2705_2
LONGA,2705_3
LONGA,2706_0
LONGA,2706_1
LONGA,2708_0
LONGA,2708_2
LONGA,2709_0
LONGA,2710_0
LONGA,2711_0
LONGA,2711_1
LONGA,2711_2
LONGA,2711_3
LONGA,2711_4
LONGA,2711_5
LONGA,2711_6
LONGA,2713_0
LONGA,2713_1
LONGA,2713_2
LONGA,2713_3
LONGA,2713_4
LONGA,2713_5
LONGA,2714_0
LONGA,2715_0
LONGA,2716_0
LONGA,2717_0
LONGA,2718_0
LONGA,2719_0
LONGA,2720_0
LONGA,2722_0
LONGA,2722_1
LONGA,2723_0
LONGA,2724_0
LONGA,2725_0
LONGA,2725_1
LONGA,2725_2
LONGA,2726_0
LONGA,2727_0
LONGA,2727_1
LONGA,2728_0
LONGA,2729_0
LONGA,2730_0
LONGA,2731_0
LONGA,2731_1
LONGA,2732_0
LONGA,2732_1
LONGA,2733_0
LONGA,2734_0
LONGA,2735_0
LONGA,2736_0
LONGA,2736_1
LONGA,2736_2
LONGA,2736_3
LONGA,2743_0
LONGA,2745_0
LONGA,2745_1
LONGA,2750_0
LONGA,2750_1
LONGA,2750_2
LONGA,2750_3
LONGA,2750_4
LONGA,2750_5
LONGA,2750_6
LONGA,2750_7
LONGA,2751_0
LONGA,2751_1
LONGA,2752_0
LONGA,2753_0
LONGA,2754_0
LONGA,2754_1
LONGA,2754_2
LONGA,2755_0
LONGA,2756_0
LONGA,2756_1
LONGA,2758_0
LONGA,2762_0
LONGA,2762_1
LONGA,2764_0
LONGA,2764_1
LONGA,2764_2
LONGA,2765_0
LONGA,2765_1
LONGA,2765_2
LONGA,2768_0
LONGA,2769_0
LONGA,2769_1
LONGA,2769_2
LONGA,2769_3
LONGA,2772_0
LONGA,2772_1
LONGA,2772_2
LONGA,2772_3
LONGA,2772_4
LONGA,2772_5
LONGA,2774_0
LONGA,2774_1
LONGA,2776_0
LONGA,2776_1
LONGA,2778_0
LONGA,2778_1
LONGA,2778_2
LONGA,2779_0
LONGA,2780_0
LONGA,2781_0
LONGA,2781_1
LONGA,2785_0
LONGA,2785_1
LONGA,2790_0
LONGA,2790_1
LONGA,2790_2
LONGA,2791_0
LONGA,2791_2
